# Halo, Bcentre, Bdisc, ρcentre, D/T, rB0, rBinner, rBouter, hB0, hBinner, hBouter
# (μG) (μG) (M pc−3) (kpc) (kpc) (kpc) (kpc) (kpc) (kpc)
1 35.0 6.0 4.3E-2 0.40 7.8 6.0 13.1 4.4 4.6 17.7
2 31.9 5.5 2.1E-2 0.73 10.7 5.9 42.8 3.6 3.0 12.7
3 22.5 6.3 2.2E-2 0.76 13.7 10.2 42.6 3.0 3.3 34.0
4 72.9 8.7 7.8E-2 0.65 6.8 4.1 12.8 4.0 4.6 10.8
5 48.8 8.1 3.7E-2 0.71 6.5 5.6 11.5 3.2 3.4 18.5
6 13.9 4.3 1.3E-2 0.67 5.1 5.9 42.0 2.9 3.4 96.0
7 22.2 7.0 3.5E-2 0.55 15.5 14.5 11.1 2.7 4.2 12.0
8 14.0 4.1 9.2E-3 0.79 9.8 9.4 28.6 4.5 4.6 13.1
9 53.6 5.6 4.2E-2 0.62 3.9 2.5 14.3 2.3 2.7 19.3
10 54.4 7.2 1.1E-1 0.43 12.5 5.1 23.3 2.3 3.0 25.6
11 109.2 7.2 1.9E-1 0.29 5.0 1.8 50.0 1.1 3.2 10.0
12 28.1 6.8 5.0E-2 0.79 13.5 10.5 9.1 2.9 3.5 16.9
13 151.5 8.8 1.3E-1 0.31 6.9 2.3 9.8 5.7 4.5 11.6
14 28.2 11.2 3.9E-2 0.67 15.5 19.6 13.7 4.7 6.5 40.9
15 15.5 6.0 2.3E-2 0.73 20.5 18.3 14.6 3.3 4.6 26.1
16 17.0 5.3 8.5E-3 0.81 13.0 10.4 84.3 3.4 3.5 14.7
17 63.4 10.1 5.9E-2 0.36 13.8 6.5 13.2 2.9 4.2 10.8
18 41.0 4.9 3.0E-2 0.68 4.8 2.7 25.4 2.6 3.6 11.2
19 30.2 5.4 3.0E-2 0.71 5.6 4.2 26.4 3.7 3.7 18.5
20 24.3 6.6 2.9E-2 0.49 19.2 11.2 38.5 4.3 5.0 12.2
21 26.4 7.0 2.7E-2 0.83 9.8 10.4 14.4 3.9 3.9 16.3
22 42.7 5.1 3.3E-2 0.51 14.7 4.9 13.0 2.5 2.0 14.2
23 41.8 8.0 4.4E-2 0.63 9.3 6.2 25.6 3.6 3.3 32.9
24 31.7 4.6 2.1E-2 0.63 7.8 3.7 -747.4 3.3 3.4 14.2
25 9.0 4.7 1.1E-2 0.73 20.8 30.3 11.6 3.4 5.1 16.4
26 280.8 14.3 2.5E-1 0.46 7.0 2.0 15.4 3.0 2.4 22.4
27 40.3 6.4 3.1E-2 0.81 5.7 4.0 21.6 3.2 3.1 21.3
28 77.5 7.9 1.5E-1 0.74 11.9 4.1 15.7 1.9 1.8 18.4
29 57.2 10.2 6.6E-2 0.61 14.2 7.5 12.5 4.5 16.5 16.3
30 146.1 7.9 9.4E-2 0.37 7.0 2.1 12.7 4.5 3.5 12.3
