#         Run   50percent   90percent
      1        0.36        0.03
      2        1.15        0.23
      3        1.41        0.21
      4        0.40        0.20
      5        1.11        0.23
      6        1.36        0.13
      7        0.52        0.17
      8        0.99        0.10
      9        1.74        0.24
     10        0.95        0.13
     11        0.15        0.01
     12        0.99        0.29
     13        0.85        0.10
     14        0.89        0.35
     15        0.73        0.07
     16        1.53        0.17
     17        1.67        0.33
     18        1.25        0.11
     19        0.68        0.46
     20        0.58        0.11
     21        0.99        0.20
     22        1.74        0.21
     23        1.47        0.48
     24        1.30        0.17
     25        0.64        0.08
     26        1.30        0.18
     27        1.36        0.23
     28        0.76        0.62
     29        0.64        0.35
     30        0.64        0.24
