#         Run    Age disk   Age bulge
      1        4.24        6.70
      2        5.80        9.20
      3        5.16       10.38
      4        1.67        5.62
      5        3.86        8.26
      6        5.55        9.26
      7        2.71        6.13
      8        6.44        8.71
      9        4.78        8.74
     10        3.97        6.50
     11        5.28        5.84
     12        3.13        7.44
     13        4.41        6.05
     14        3.48        7.38
     15        2.96        7.11
     16        5.69        9.39
     17        6.27        7.87
     18        5.43        8.12
     19        3.03        7.12
     20        4.97        7.47
     21        4.17        7.90
     22        5.36        7.91
     23        5.24        8.29
     24        5.47        9.02
     25        6.12        9.51
     26        4.85        6.80
     27        4.49        8.78
     28        3.51        6.46
     29        4.95        7.75
     30        2.94        5.98
